file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,wav,-46.05768779632556,-45.94803540971544,3.8898667698615874,8.11467718285825
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,wav,-43.81217013888889,-53.548046405498795,3.8881896422186926,11.443148868500742
F2BJRLP3,0.0,30.7068125,wav,-45.99234268153696,-46.87895378462388,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,wav,-45.666004035776616,-45.82509308711738,3.591081407841954,7.894659976710113
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,wav,-43.28645675696126,-52.370532696063705,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,wav,-44.80989247744845,-50.90579160054525,2.533814193955675,12.358243745435463
